,Name,Tweet Count,Tweet,Compound Score,Positive,Negative,Neutral,Date
0,BBC,100,RT @BBCTwo: Flipping AMAZING. 😲 #RobotWars https://t.co/fZidFx1nBB,0.7028,0.491,0.0,0.509,Sun Nov 26 21:12:48 +0000 2017
1,BBC,99,"RT @bbcstrictly: We're not crying, you are 😢 @keviclifton @SusanCalman #Strictly https://t.co/TbRmuFcjtJ",0.3724,0.203,0.0,0.797,Sun Nov 26 21:11:53 +0000 2017
2,BBC,98,"RT @bbcstrictly: ""This has been the best experience of my life"" ✨ RT if you've loved watching @SusanCalman and @keviclifton every week http…",0.8442,0.288,0.0,0.712,Sun Nov 26 21:11:45 +0000 2017
3,BBC,97,"RT @CBeebiesHQ: Congratulations to @HEYDUGGEE!

Winners of @BAFTA Children’s Pre-school animation at tonight’s #BAFTAKids 🙌

We’re jumping…",0.807,0.342,0.0,0.658,Sun Nov 26 21:11:33 +0000 2017
4,BBC,96,RT @BBCOne: One word: magnificent. #BluePlanet2 https://t.co/BYU9GXfipm,0.5994,0.394,0.0,0.606,Sun Nov 26 20:51:01 +0000 2017
5,BBC,95,"RT @BBCOne: 🎤 “I’m coming out. I want the world to know, got to let it show.” 🎤 #BluePlanet2 https://t.co/CDydVz7xVv",0.0772,0.075,0.0,0.925,Sun Nov 26 20:48:58 +0000 2017
6,BBC,94,'You can't mug off the Queen'. 😂 ⚒ 🎖 @MrDDyer playing Send To All with @McInTweet is brilliant.… https://t.co/OMG46hz51X,0.2023,0.107,0.0,0.893,Sun Nov 26 20:35:06 +0000 2017
7,BBC,93,RT @BBCOne: Sea otters: providing 100% of your daily requirement of cuteness. ❤️ #BluePlanet2 https://t.co/sZVOKUyVkr,0.5106,0.191,0.0,0.809,Sun Nov 26 20:20:17 +0000 2017
8,BBC,92,RT @BBCOne: Raiding the fridge in the middle of the night like… #BluePlanet2 https://t.co/RoSDcuJZpz,0.0,0.0,0.0,1.0,Sun Nov 26 20:13:59 +0000 2017
9,BBC,91,"Tonight, a team of scientists begin an expedition to Nyiragongo, one of the world's most dangerous volcanoes.… https://t.co/cP6Oo6ukqz",-0.5256,0.0,0.175,0.825,Sun Nov 26 20:03:04 +0000 2017
10,BBC,90,Can you guess the secret ingredient that magically turns into vegan mayo? Via @BBCFood. https://t.co/d8oB0dlkWR,0.0,0.0,0.0,1.0,Sun Nov 26 19:30:02 +0000 2017
11,BBC,89,'When did it get so heavy?' 🎶 💖 Hands up if you've had @AnneMarieIAm on repeat since #SLFN. 🙋 Via @BBCMusic https://t.co/Imr5DdbkPn,0.0,0.0,0.0,1.0,Sun Nov 26 19:15:04 +0000 2017
12,BBC,88,When is it not OK to pet a stranger's dog? 🙅🐶 https://t.co/KJlTScCCp3 https://t.co/TOdCkuGFhR,-0.3465,0.0,0.181,0.819,Sun Nov 26 18:30:08 +0000 2017
13,BBC,87,"""That was the happiest I've ever been"": 15-year-old Julia explains why @SimonCowell paid for her scoliosis surgery.… https://t.co/a1yrYK6FVh",0.6369,0.198,0.0,0.802,Sun Nov 26 18:03:01 +0000 2017
14,BBC,86,"As the weather takes a turn, we thought we'd celebrate the beauty &amp; splendour of what's been an awesome autumn. 🍂🍁… https://t.co/oy6fLtok2j",0.9413,0.465,0.0,0.535,Sun Nov 26 17:30:20 +0000 2017
15,BBC,85,Want to make a splash in the world of parenting? The #Motherland guide to pool parties is here to help! 🏊😂 Via… https://t.co/S390iq6fdm,0.7177,0.269,0.0,0.731,Sun Nov 26 17:00:05 +0000 2017
16,BBC,84,"RT @bbcf1: 'Thank you for everything'

Listen to the moment Felipe Massa crossed the finish line for the final time.

https://t.co/cXFgG2Pw…",0.3612,0.111,0.0,0.889,Sun Nov 26 16:46:43 +0000 2017
17,BBC,83,"RT @BBCR1: Dear #ARMY,

@AdeleRoberts has been busy over in Seoul working on a very special K-pop documentary featuring @BTS_twt! 😍

She's…",0.7082,0.246,0.0,0.754,Sun Nov 26 16:46:35 +0000 2017
18,BBC,82,RT @BBCSpringwatch: Hands up if you've spotted one of these cheeky chaps in your garden! 🙌🏽 https://t.co/po1DBtIVfC,0.0,0.0,0.0,1.0,Sun Nov 26 16:46:29 +0000 2017
19,BBC,81,RT @bbcthree: Dave is terminally ill and facing the inevitability of leaving his wife and step-kids behind. https://t.co/lLTLOTTZqi,-0.4215,0.0,0.141,0.859,Sun Nov 26 16:46:25 +0000 2017
20,BBC,80,RT @BBCTwo: Flipping AMAZING. 😲 #RobotWars https://t.co/fZidFx1nBB,0.7028,0.491,0.0,0.509,Sun Nov 26 21:12:48 +0000 2017
21,BBC,79,"RT @bbcstrictly: We're not crying, you are 😢 @keviclifton @SusanCalman #Strictly https://t.co/TbRmuFcjtJ",0.3724,0.203,0.0,0.797,Sun Nov 26 21:11:53 +0000 2017
22,BBC,78,"RT @bbcstrictly: ""This has been the best experience of my life"" ✨ RT if you've loved watching @SusanCalman and @keviclifton every week http…",0.8442,0.288,0.0,0.712,Sun Nov 26 21:11:45 +0000 2017
23,BBC,77,"RT @CBeebiesHQ: Congratulations to @HEYDUGGEE!

Winners of @BAFTA Children’s Pre-school animation at tonight’s #BAFTAKids 🙌

We’re jumping…",0.807,0.342,0.0,0.658,Sun Nov 26 21:11:33 +0000 2017
24,BBC,76,RT @BBCOne: One word: magnificent. #BluePlanet2 https://t.co/BYU9GXfipm,0.5994,0.394,0.0,0.606,Sun Nov 26 20:51:01 +0000 2017
25,BBC,75,"RT @BBCOne: 🎤 “I’m coming out. I want the world to know, got to let it show.” 🎤 #BluePlanet2 https://t.co/CDydVz7xVv",0.0772,0.075,0.0,0.925,Sun Nov 26 20:48:58 +0000 2017
26,BBC,74,'You can't mug off the Queen'. 😂 ⚒ 🎖 @MrDDyer playing Send To All with @McInTweet is brilliant.… https://t.co/OMG46hz51X,0.2023,0.107,0.0,0.893,Sun Nov 26 20:35:06 +0000 2017
27,BBC,73,RT @BBCOne: Sea otters: providing 100% of your daily requirement of cuteness. ❤️ #BluePlanet2 https://t.co/sZVOKUyVkr,0.5106,0.191,0.0,0.809,Sun Nov 26 20:20:17 +0000 2017
28,BBC,72,RT @BBCOne: Raiding the fridge in the middle of the night like… #BluePlanet2 https://t.co/RoSDcuJZpz,0.0,0.0,0.0,1.0,Sun Nov 26 20:13:59 +0000 2017
29,BBC,71,"Tonight, a team of scientists begin an expedition to Nyiragongo, one of the world's most dangerous volcanoes.… https://t.co/cP6Oo6ukqz",-0.5256,0.0,0.175,0.825,Sun Nov 26 20:03:04 +0000 2017
30,BBC,70,Can you guess the secret ingredient that magically turns into vegan mayo? Via @BBCFood. https://t.co/d8oB0dlkWR,0.0,0.0,0.0,1.0,Sun Nov 26 19:30:02 +0000 2017
31,BBC,69,'When did it get so heavy?' 🎶 💖 Hands up if you've had @AnneMarieIAm on repeat since #SLFN. 🙋 Via @BBCMusic https://t.co/Imr5DdbkPn,0.0,0.0,0.0,1.0,Sun Nov 26 19:15:04 +0000 2017
32,BBC,68,When is it not OK to pet a stranger's dog? 🙅🐶 https://t.co/KJlTScCCp3 https://t.co/TOdCkuGFhR,-0.3465,0.0,0.181,0.819,Sun Nov 26 18:30:08 +0000 2017
33,BBC,67,"""That was the happiest I've ever been"": 15-year-old Julia explains why @SimonCowell paid for her scoliosis surgery.… https://t.co/a1yrYK6FVh",0.6369,0.198,0.0,0.802,Sun Nov 26 18:03:01 +0000 2017
